id,slug,title,image,manager,telephone,telephone_alternative,cellphone,email,description,address_line1,address_line2,address_comment,city,region_id,country_id,longitude,latitude,sales_org_store_code,store_contact_secondary_rep_code,store_contact_secondary,master_code,store_code,store_contact_primary,store_contact_primary_rep_code,sap_sync,website,is_supplier,store_config_id,hours_default,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun,hours_pub,closed_mon,closed_tue,closed_wed,closed_thu,closed_fri,closed_sat,closed_sun,closed_pub,status,visible,visible_in_checkout,created_at,updated_at,warehouse_email,primary_image,url_rewrite_id,website_id,visible_on_stock_check,website_url
39,italtile-walmer,Italtile Walmer,,Johan Kemper,041 612 0202,,,kemperj@italtile.co.za,,"Corner Martin Road & 17th Avenue, Springfield, Gqeberha",,,Gqeberha,611,ZA, 25.553106900296235,-33.9837497645373,NA,,,,I924,#,12389,1,1,0,,8am - 5pm,8am - 5pm,8am - 5pm,8:30am - 5pm,8am - 5pm,8am - 5pm,8am - 4pm,9am - 2pm,8am - 4pm,0,0,0,0,0,0,0,0,0,1,1,2023-05-29 07:28:30,2023-08-30 13:19:19,walwarehouse@italtile.co.za,wysiwyg/Walmer-Showroom.jpg,,1,1,
14,italtile-boksburg,Italtile Boksburg,store/boksburg-5c657d184c097.jpg,Marku Gouws,011 255 1060,,,gouwsm@italtile.co.za,,"Corner North Rand and Trichardt Road, Beyers Park, Boksburg",,,Boksburg,610,ZA,28.25489357301113,-26.17841956297405,NA,,,NA,I916,#,5016,1,1,0,,8am - 5pm,8am - 5pm,8am - 5pm,8am - 5pm,8:30am - 5pm,8am - 5pm,8am - 4pm,9am - 2pm,8am - 4pm,0,0,0,0,0,0,0,0,1,1,1,2019-02-14 16:37:12,2024-12-03 11:07:47,iboksburgwh@italtile.co.za,vectra_storefinder/image/Italtile-Boksburg-I-2022-04-28.jpg,,1,1,
15,italtile-bryanston,Italtile Bryanston,store/bryanston-5c31eaa87fe88.JPG,Sonia Matshitse,011 510 9002,011 510 9094,,matshitses@italtile.co.za,,"72 Peter Place, Bryanston, Sandton",,,Bryanston,610,ZA,28.025497, -26.082028,NA,,,NA,I905,#,5012,1,1,0,,8am - 5pm,8am - 5pm,8:30am - 5pm,8am - 5pm,8am - 5pm,8am - 5pm,8am - 4pm,9am - 2pm,8am - 4pm,0,0,0,0,0,0,0,0,1,1,1,2019-01-06 13:47:54,2024-12-03 10:50:05,ngubanes@italtile.co.za,vectra_storefinder/image/Italtile-Bryanston.jpg,,1,1,
20,italtile-menlyn,Italtile Menlyn,store/menlyn-5c657e2171f8e.jpg,Sias Human,012 348 8700,012 348 3429,,humans@italtile.co.za,,"38 Palala Road, Ashlea Gardens, Pretoria",,,Pretoria,610,ZA,28.271854, -25.782773,NA,,,NA,I902,#,5011,1,1,0,,,8am - 5:30pm,8am - 5:30pm,8:30am - 5:30pm,8am - 5:30pm,8am - 5:30pm,8am - 4pm,9am - 2pm,8am - 4pm,0,0,0,0,0,0,0,0,1,1,1,2019-02-14 16:41:37,2024-12-03 11:05:34,khuzwayos@italtile.co.za,vectra_storefinder/image/Italtile_Menlyn.jpg,,1,1,
21,italtile-the-glen,Italtile The Glen,store/the-glen-5c98951a87820.jpg,Henry Preston ,011 027 7900,086 623 3683,,prestonh@italtile.co.za,,"6 Skukusa Road, Gleneagles, Johannesburg",,,Johannesburg,610,ZA,28.04912, -26.270794,NA,,,NA,I918,#,5018,1,1,0,,,8am - 5pm,8:30am - 5pm,8am - 5pm,8am - 5pm,8am - 5pm,8am - 4pm,9am - 2pm,8am - 4pm,0,0,0,0,0,0,0,0,1,1,1,2019-06-29 16:44:58,2024-12-03 10:42:16,Mothoaj@italtile.co.za,vectra_storefinder/image/The-Glen.jpg,,1,1,
22,italtile-northriding,Italtile Northriding,/wysiwyg/showrooms/IMG_0914.JPG,Nomathamba Ndlovu,011 704 1104,086 508 1743,,ndlovun@italtile.co.za,,"Corner Witkoppen and, Malibongwe Dr, Hoogland, Randburg",,,Northriding,610,ZA,27.955387, -26.04053,NA,,,NA,I919,#,6547,1,1,0,,,8am - 5pm,8am - 5pm,8:30am - 5pm,8am - 5pm,8am - 5pm,8am - 4pm,9am - 2pm,8am - 4pm,0,0,0,0,0,0,0,0,1,1,1,2019-01-06 13:49:54,2024-12-03 10:44:02,ndlovuj@italtile.co.za,vectra_storefinder/image/Northriding.jpg,,1,1,
23,italtile-waterfall,Italtile Waterfall,store/waterfall-57cd6146d0ca3.jpg,Thabisile Mathe,011 517 2510,,,italtilewfbm@italtile.co.za,,"1 Tugela Drive, Waterfall Logistics Precinct, Midrand",,,Midrand,610,ZA,28.112612, -26.024019,NA,,,NA,I920,#,6867,1,1,0,,,8am - 5:30pm,8am - 5:30pm,8:30am - 5:30pm,8am - 5:30pm,8am - 5:30pm,8am - 4pm,9am - 2pm,8am - 4pm,0,0,0,0,0,0,0,0,1,1,1,2019-01-06 13:50:12,2024-12-03 10:38:37,mogashoaa@italtile.co.za,vectra_storefinder/image/Italtile-Waterfall.jpg,,1,1,
30,italtile-clearwater,Italtile Clearwater,store/italtile-clearwater-5c657610b3724.jpg,Mark Pillay,010 271 3005,,,italcwbm@italtile.co.za,,"Corner Hendrik Potgieter and, Jim Fouchu00e9 Rd, Allen's Nek, Roodepoort",,,Roodepoort,610,ZA,27.9146234, -26.1328084,NA,,,NA,I922,#,8784,1,1,0,,,8am - 5pm,8am - 5pm,8:30am - 5pm,8am - 5pm,8am - 5pm,8am - 4pm,9am - 2pm,8am - 4pm,0,0,0,0,0,0,0,0,1,1,1,2019-05-28 09:47:49,2024-12-03 11:07:02,nzulaa@italtile.co.za,vectra_storefinder/image/Italtile_Clearwater.jpg,,1,1,
18,italtile-umhlanga,Italtile Umhlanga,wysiwyg/UMHLANGA.jpg,Neeta Singh,031 566 5069,031 566 5090,,Italumgbm@italtile.co.za,,"7 Tetford Circle, Somerset Park, Durban",,,Umhlanga,612,ZA,31.059375, -29.726404,NA,,,NA,I913,#,5013,1,1,0,,8am - 5pm,8am - 5pm,8am - 5pm,8:30am - 5pm,8am - 5pm,8am - 5pm,8am - 4pm,9am - 2pm,8am - 4pm,0,0,0,0,0,0,0,0,1,1,1,2019-01-06 13:48:42,2024-12-03 10:41:37,khuzwayop@italtile.co.za,vectra_storefinder/image/UMHLANGA.jpg,,1,1,
29,italtile-polokwane,Italtile Polokwane,store/polokwane-5bf3c517af808.jpg,Awilla Mulaudzi ,015 690 0996 ,,,italtileplkbm@italtile.co.za,,"7 Marlothii Street, Baobab Gardens, Munnik Avenue, Thornhill, Polokwane",,,Polokwane,613,ZA,29.497852, -23.885281,NA,,,NA,I921,#,7857,1,1,0,,,8am - 5:30pm,8am - 5:30pm,8:30am - 5:30pm,8am - 5:30pm,8am - 5:30pm,8am - 4pm,9am - 2pm,8am - 4pm,0,0,0,0,0,0,0,0,1,1,1,2019-02-14 16:49:32,2024-12-03 11:04:30,malopet@italtile.co.za,vectra_storefinder/image/Italtile_Polokwane.jpg,,1,1,
