 AdditionalInfo,Address,City,CountryId,Email,Id,Latitude,Longitude,Phone,Phone2,Phone3,Point,StateProvinceId,StoreId,StoreLocatorName,ZipCode,TradingMonFri,TradingSat,TradingSunPub
NULL,86 Hibernia Street George  ,George,73,NULL,0205,-33.95920482,22.45799055,043 054 0412,,,George,84,Lewis Stores,George,6530,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,"Shop 7, Ratsoma Shp Cntr The farm Battle 519 KS Tshehlwaneng Village Magnet Heights",Magnet Heights,73,NULL,1152,-24.790097,29.973827,013 007 9290,,,Magnet Heights,80,Lewis Stores,Magnet Heights,1435,08:00 - 18:00,08:00 - 15:00,CLOSED
NULL,192 Murchison Street Ladysmith  ,Ladysmith  Natal,73,NULL,0410,-28.558841,29.781673,036 514 0103,,,Ladysmith  Natal,79,Lewis Stores,Ladysmith  Natal,3370,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Shop 7 Namica Shopping Centre Okuryangava Namibia,Okuryangava,182,NULL,1153,-22.51104,17.05001,00264 6122 2081,00264 6140 1860,00264 6125 9604,Okuryangava,False,Lewis Stores,Okuryangava,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,12c Market Street Vereeniging  ,Vereeniging,73,NULL,0525,-26.674693,27.930585,021 000 3350,,,Vereeniging,78,Lewis Stores,Vereeniging,1939,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,250B Church Street Vryheid ,Vryheid,73,NULL,1094,-27.76601847,30.79920337,034 108 6026,,,Vryheid,79,Lewis Stores,Vryheid,3100,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Shop No13 NONGOMA SHOPPING CENTRE MAIN ROAD NONGOMA,NONGOMA,73,NULL,1143,-27.91673473,31.64634885,035 514 0142,,,NONGOMA,79,Lewis Stores,NONGOMA,3950,08:00 - 17:00,08:00 - 13:00,09:00 - 13:00
NULL,Shop no 52 Tshilamba Retail Centre Thengwe Road Tshilamba,Tshilamba,73,NULL,1144,-22.743473,30.53169,015 007 9481,,,Tshilamba,80,Lewis Stores,Tshilamba,0956,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Shop 18 Morone Shng Cnt Dirk Winterbach Street Burgersfort ,Burgersfort,73,NULL,1145,-24.672136,30.330527,013 007 9023,,,Burgersfort,81,Lewis Stores,Burgersfort,1150,08:00 - 18:00,08:00 - 15:00,CLOSED
NULL,"Block E8, Watergate Cnt Cnr R300 & AZ Berman Dri Mitchells Plain ",Mitchells Plain,73,NULL,1146,-34.018875,18.60957,021 054 5169,,,Mitchells Plain,84,Lewis Stores,Mitchells Plain,7785,08:00 - 18:00,08:00 - 15:00,09:00 - 13:00
NULL,Shop 12 (C) Buhleni Shopping Centre Buhleni ,Buhleni,219,NULL,1147,-25.925492,31.508892,00268 243 16904,00268 243 16653,,Buhleni,False,Lewis Stores,Buhleni,9999,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Hidipo Hamutenya Street Karibib Namibia ,Karibib,182,NULL,1149,-21.93708132,15.85322039,00264 6455 0669,00264 6455 0630,00264 6455 0655,Karibib,False,Lewis Stores,Karibib,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Shop 8B Bloch's Centre 18 Van Riebeek Road Kraaifontein,Kraaifontein,73,NULL,0105,-33.8525236,18.7233099,021 054 2575,,,Kraaifontein,84,Lewis Stores,Kraaifontein,7570,08:00 - 17:30,08:00 - 13:00,CLOSED
NULL,182 Voortrekker Road Parow  ,Parow,73,NULL,0107,-33.906137,18.585721,021 054 2574,,,Parow,84,Lewis Stores,Parow,7500,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,143b Voortrekker Road Bellville  ,Bellville,73,NULL,0108,-33.901006,18.628926,,021 054 8561,,Bellville,84,Lewis Stores,Bellville,7530,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,11 Piet Retief Street Malmesbury  ,Malmesbury,73,NULL,0109,-33.461752,18.730781,022 108 5002,,,Malmesbury,84,Lewis Stores,Malmesbury,7299,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Wynberg Centre cnr Main & Piers Roads Wynberg ,Wynberg Withinshaw,73,NULL,0110,-34.00674846,18.46931625,021 054 2573,,,Wynberg Withinshaw,84,Lewis Stores,Wynberg Withinshaw,7800,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,"Shop 2b, Shoprite Cntr Cnr Berg River & Van der Lingen Street Paarl",Paarl,73,NULL,0112,-33.732718,18.969393,021 054 2561,,,Paarl,84,Lewis Stores,Paarl,7646,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,46 Donkin Street Beaufort West  ,Beaufort West,73,NULL,0113,-32.34786578,22.58226845,023 108 5170,,,Beaufort West,84,Lewis Stores,Beaufort West,6970,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,23 Bath Street Montagu  ,Montagu,73,NULL,0115,-33.786783,20.120916,023 108 5172,,,Montagu,84,Lewis Stores,Montagu,6720,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,69 Voortrekker Street Ceres  ,Ceres,73,NULL,0117,-33.36956,19.309786,023 108 5171,,,Ceres,84,Lewis Stores,Ceres,6835,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,cnr Long & Main Street Knysna  ,Knysna,73,NULL,0122,-34.03574299,23.0491084,044 514 0007,,,Knysna,84,Lewis Stores,Knysna,6570,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,12 Plein Street Caledon  ,Caledon,73,NULL,0123,-34.233292,19.428652,028 054 0058,,,Caledon,84,Lewis Stores,Caledon,7230,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Swart Street Heidelberg  ,Heidelberg  Cape,73,NULL,0124,-34.09031764,20.9566402,028 054 0057,,,Heidelberg  Cape,84,Lewis Stores,Heidelberg  Cape,6665,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,39 van Riebeek Street Ladismith  ,Ladismith  Cape,73,NULL,0125,-33.49401782,21.27036261,028 054 0059,,,Ladismith  Cape,84,Lewis Stores,Ladismith  Cape,6655,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Hoof Street Keimoes  ,Keimoes,73,NULL,0127,-28.711171,20.979248,054 109 9021,,,Keimoes,82,Lewis Stores,Keimoes,8860,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Saldanha Winkels Main Street Saldanha Bay ,Saldanha Bay,73,NULL,0128,-33.008342,17.945222,022 108 5015,,,Saldanha Bay,84,Lewis Stores,Saldanha Bay,7395,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,65 Church Street Prince Albert  ,Prince Albert,73,NULL,0129,-33.22362209,22.02962418,023 108 5167,,,Prince Albert,84,Lewis Stores,Prince Albert,6930,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,92 Voortrekker Street Swellendam  ,Swellendam,73,NULL,0131,-34.021275,20.442968,021 005 4568,,,Swellendam,84,Lewis Stores,Swellendam,6740,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,23 Kerk Street Bredasdorp  ,Bredasdorp,73,NULL,0132,-34.5339455,20.04015647,028 054 0055,,,Bredasdorp,84,Lewis Stores,Bredasdorp,7280,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,60 Church Street Victoria West  ,Victoria West,73,NULL,0133,-31.4036843,23.11231988,053 108 5041,,,Victoria West,82,Lewis Stores,Victoria West,7070,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,cnr Voortrekker & Loop St Springbok  ,Springbok,73,NULL,0134,-29.66813,17.88284,027 054 0105,,,Springbok,82,Lewis Stores,Springbok,8240,08:00 - 17:00,08:00 - 13:00,CLOSED
