ID,Slug,Title,Manager,Telephone,City,Address Line 1,Address Line 2,Email,Store Code,Website,Hours
11,butterworth,Butterworth,Zimkita Kenqa,047 491 0210,Butterworth,29 King St cnr Scanlan Rd Butterworth,,toptButterworthbm@topt.co.za,H050,1,08:00am - 05:00pm
12,east-london,East London,Nolly Tusha,043 722 0311,East London,22 St Pauls Street Arcadia,,toptelbm@topt.co.za,H030,1,08:00am - 05:00pm
23,king-williams-town,King Williams Town,Dumisani Mapakela,043 642 1652,King Williams Town,74 Cathcart Street,,kwt@topt.co.za,H024,1,08:00am - 05:00pm
44,motherwell,Motherwell,Melikhaya Daba,041 489 0020,Motherwell,Erf 17679 Ngomyama Street,Boxer Centre Motherwell,toptmotherwellbm@topt.co.za,H048,1,08:00am - 05:00pm
45,lusikisiki,Lusikisiki,Sipesihle Nontununu,039 253 4009,Lusikisiki,"Vimbelo Complex,76 Main Street,Lusikisiki, 4820","Vimbelo Complex, Next to Dunlop",lusikisikibm@topt.co.za,H089,1,08:00am - 05:00pm
57,queenstown,Queenstown,Mfihlo Thembalethu,045 838 2023,Queenstown,123 Cathcart Road,,toptqueencashier@topt.co.za,H033,1,08:00am - 05:00pm
69,umtata,Umtata,Lindiwe Nopote,047 531 0766,Umtata,61 Madeira Street,,toptumtata@topt.co.za,H028,1,08:00am - 05:00pm
76,mount-frere,Mount Frere,Avela Ngetu,039-940 4084/25,Mount Frere,4 Madzikane street ,,mountfrerebm@topt.co.za,H073,1,08:00am - 05:00pm
128,uitenhage,Uitenhage,MELIKHAYA DABA,041 450 6602,Uitenhage,"cnr Roberts & Durban Street, Uitenhage",,uitenhagebm@topt.co.za,H058,1,08:00am - 05:00pm
133,stanford-road,Stanford Road,Brandon Polley,041 450 6603,"Stanford Road, Port Elizabeth","30 Stanford Rd, Korsten, Port Elizabeth, 6020",Korsten,stanfordroadbm@topt.co.za,H080,1,08:00am - 05:00pm
152,matatiele,Matatiele,Sipesihle Notununu,039 737 3532,Matatiele,"32 West Street, Matatiele",,matatielebm@topt.co.za,H096,1,08:00am - 05:00pm
5,bloemfontein,Bloemfontein,Maria Sani,071 856 1848,Bloemfontein,"Shop 1, 74 Harvey Road, Oranjesig, Bloemfontein, 9301",74 Harvey Road Bloemfontein,ttbloembm@topt.co.za,T060,1,08:00am - 05:00pm
6,botshabelo,Botshabelo,Mbulelo Tantsi ,051 534 0083,Botshabelo,"23 Blue Street, Botshabelo IA, Botshabelo,9781",,ttbotshabelobm@topt.co.za,T061,1,08:00am - 05:00pm
73,welkom,Welkom,Augustina Monatisa,064 933 1570,Welkom,"214 Jan Hofmeyer Road, Voorspoed, Welkom, 9460",,toptwelkombm@topt.co.za,T063,1,08:00am - 05:00pm
2,alberton,Alberton,Nokuthula Sithole,011 869 1503,Alberton,"Libertas Building, Corner Of Voortrekker & Looe Street",New Redruth,toptalbcashier@topt.co.za,T015,1,08:00am - 05:00pm
4,benoni,Benoni,Mlungisi Khanyile,011 421 0213,Benoni,36 Tom Jones Avenue,,toptbenoni@topt.co.za,T001,1,08:00am - 05:00pm
7,bronkhorstspruit,Bronkhorstspruit,Tebogo Mohlala,013 492 1962,Bronkhorstspruit,"41 Lanham Street, Bronkhorstspruit 1020",,toptbhsbm@topt.co.za,H072,1,08:00am - 05:00pm
8,bruma,Bruma,Brian Hlongwane,011 620 3104,Bruma,9 Arena Close,,toptbrumabm@topt.co.za,T037,1,08:00am - 05:00pm
28,kwa-thema,Kwa Thema,Lunga Hlongwani,011 737 1173,Kwa Thema,"Cnr 12th & 2nd Roads, Kwa-Thema, Brakpan,",,toptkwathemabm@topt.co.za,T033,1,08:00am - 05:00pm
32,lenasia,Lenasia,Cindy Muliwa,011 857 1556,Lenasia,Main Lawley Road,,toptlensmanager@topt.co.za,T003,1,08:00am - 05:00pm
56,pretoria-west,Pretoria West,Nomsa Letsoalo,076 576 2603,Pretoria West,Shop 1 Crown Court Pretoria West,135 Church Street,toptpretoriawest@topt.co.za,T009,1,08:00am - 05:00pm
58,randfontein,Randfontein,Tebogo Taunyane,011 692 1067,Randfontein,8 Main Reef Road,,toptrandbm@topt.co.za,T017,1,08:00am - 05:00pm
59,roodepoort,Roodepoort,Busisiwe Mthimunye,011 674 2134,Roodepoort,Cnr Anvil & Granville St Robertville,,toptroodepoort@topt.co.za,T004,1,08:00am - 05:00pm
62,silverton,Silverton  ,Rulani Manganyi,0128041158,Silverton,cnr Dykor and R104 Silverton,,toptsilvertonbm@topt.co.za,T030,1,08:00am - 05:00pm
63,southgate,Southgate,Thabile Majola,011 494 9000,Southgate,Rifle Range Road (next to Southgate Mall),,southgatebm@topt.co.za,T019,1,08:00am - 05:00pm
64,spruitview,Spruitview,Katlego Boea,011 866 7056,Spruitview,cnr Moagi & Brickfield Roads,,toptspruitview@topt.co.za,T034,1,08:00am - 05:00pm
66,tembisa,Tembisa,Lindiwe Mongwe,(011) 316-0107,Tembisa,Corner Olifantsfontein and Madiba drive,,topttembisa@topt.co.za,T010,1,08:00am - 05:00pm
70,vanderbijlpark,Vanderbijlpark,Tommie Engelbrecht,016 933 1951,Vanderbijlpark,Rabie Street,,toptvdbpark@topt.co.za,T002,1,08:00am - 05:00pm
132,dobsonville,Dobsonville,Arent Chauke ,010 229 0113,Dobsonville,301 Elias Motsoaledi Road Mmesi Park,"Mmesi Park, 1863 (Next to CTM)",dobsonvillebm@topt.co.za,T039,1,08:00am - 05:00pm
