Store Name,Phone Number,Address,Latitude,Longitude,Trading Hours,Contact URL
DIY Depot Kathu,0746873287,0 Rietbok Street Kathu Northern Cape 8446 South AFrica,-27.698361,23.045428,Mon - Fri: 08:00 - 17:30Sat: 08:00 - 15:00Sun: 09:00 - 13:30Phol: 09:00 - 13:30,https://www.diydepot.co.za/diy-store/diy-depot-kathu/
DIY Depot Kuruman,053 712 2143,12 Livingstone Street Kuruman 8460,-27.460243,23.436091,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 14:00Sun: 08:30 - 13:00Phol: Closed,https://www.diydepot.co.za/diy-store/diy-depot-kuruman-2/
DIY Depot Black Rock,071 814 1619,Corner Main Street Black Rock Northern Cape 8491 South Africa,-27.120467,22.848058,Mon - Thurs: 07:00 - 17:00Friday: 07:00 - 14:00Sat: ClosedSun: ClosedPhol: Closed,https://www.diydepot.co.za/diy-store/diy-depot-black-rock/
DIY Depot Qonce,076 600 0480,168 Buffalo Street Qonce Eastern Cape 5601 South Africa,-32.883359,27.38912,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 15:00Sun: 09:00 - 14:00Phol: 08:00 - 17:00,https://www.diydepot.co.za/diy-store/diy-depot-qonce/
DIY Depot Qonce 2,076 600 0480,184 Buffalo Road Qonce Eatern Cape 5600 South Africa,-32.881921,27.388099,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 14:00Sun: 08:00 - 14:00Phol: 08:00 - 14:00,https://www.diydepot.co.za/diy-store/diy-depot-qonce-2/
DIY Depot Gariep,051 754 0200,7 Jangroentjie Straat Gariepdam Free State 9922 South Africa,-30.591333,25.490899,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 13:00Sun: ClosedPub Hol: Closed,https://www.diydepot.co.za/diy-store/diy-depot-gariep/
DIY Depot Alice,084 688 6883,Cnr Main & Long Market Street Alice Eastern Cape 5700 South Africa,-32.787587,26.8362,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 17:00Sun: 08:00 - 17:00Phol: 08:00 - 17:00,https://www.diydepot.co.za/diy-store/diy-depot-alice/
DIY Depot Ekaya,012 542 1744,1004 Mbombela Street Soshanguve Gauteng 0152 South Africa,-25.588549,28.106964,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 16:00Sun: 08:00 - 13:00Phol: 08:00 - 14:00,https://www.diydepot.co.za/diy-store/diy-depot-ekaya/
DIY Depot Paynter’s,012 377 0555,480 Moot Street Hermanstad Pretoria Gauteng 0082 South Africa,-25.712906,28.159056,Monday - Friday: 07:30–17:00Saturday: 08:00–13:00Sunday: Closed,https://www.diydepot.co.za/diy-store/diy-depot-paynters/
DIY Depot Warden,058 643 0078,20 Piet Retief Road Warden Free State 9890 South Africa,-27.858699,28.965646,Mon - Fri: 08:30 - 16:30Sat: 08:30 - 13:30Sun: CLOSEDPhol:  CLOSED,https://www.diydepot.co.za/diy-store/diy-depot-warden/
DIY Depot Vaal Park,083 551 5077,20 Baviaanskloof Street Vaal Park Sasolburg Free State 1911 South Africa,-26.766156,27.839846,Monday - Friday: 06:30 - 18:00Saturday: 07:00 - 13:00Sunday: 07:00 - 13:00Public Holidays: 07:00 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-vaal-park/
DIY Depot Botshabelo Main,051 534 1333,25 Blue Street Botshabelo Industrial Botshabelo Free State 9781 South Africa,-29.199791,26.70576,Mon - Thurs: 08:00 - 17:00Fri: 8:00 - 12:00 / 14:00 - 17:00Sat: 08:00 - 13:00Sun: ClosedPhol:  Closed,https://www.diydepot.co.za/diy-store/diy-depot-botshabelo-main/
DIY Depot Dundee,034 212 4200,56 Karel Landman Street Dundee KZN 3000 South Africa,-28.163845,30.227224,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 13:00Sun: 09:00 - 13:00Phol:  09:00 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-dundee-2/
DIY Depot Doornpoort,012 942 5740,"Shop 17, Airport Road Doornpoort Pretoria Gauteng 0017 South Africa",-25.648496,28.236647,Mon - Fri: 07:30 - 17:00Sat: 08:00 - 15:00Sun: CLOSEDPhol: 08:00 - 15:00,https://www.diydepot.co.za/diy-store/diy-depot-doornpoort-2/
DIY Depot Bergville,036 448 10415,11 Tatham Road Bergville KZN 3350 South AFrica,-28.72802,29.349493,Mon - Fri: 09:00 - 17:00Sat: 09:00 - 14:00Sun: ClosedPub Hol: Closed,https://www.diydepot.co.za/diy-store/diy-depot-bergville/
DIY Depot Ryneveld,072 391 0111,Shop 10 Ryneveld corner centre Pierre van Ryneveld Park Centurion Gauteng 0157 South Africa,-25.842159179679722,28.243910001852406,Mon - Fri: 07:30 - 17:30Sat: 08:00 - 15:00Sun: CLOSEDPhol:  08:00 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-ryneveld/
DIY Depot Rivonia,011 783 3440,17 Autumn Road Rivonia Gauteng 2128 South Africa,-26.043942,28.0593621,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 15:00Sun: 09:00 - 13:00Phol:  09:00 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-rivonia/
DIY Depot Wierdapark,082 456 3080,190 Hendrik Street Wierda Park Centurion Gauteng 0159 South Africa,-25.864352,28.143955,Mon - Fri: 08:00 - 17:30Friday closed between 12:15 - 13:30Sat: 07:30 - 15:00Sun: 08:30 - 13:00Phol:  08:30 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-wierdapark/
DIY Depot Gonubie,043 740 1372,35 Main Road Gonubie East London Eastern Cape 5257 South Africa,-32.9385541,28.0105805,N/A,https://www.diydepot.co.za/diy-store/diy-depot-gonubie/
DIY Depot Prieska,053-353-2024,Hoofstraat 14 Prieska Northern Cape 8940 South Africa,-29.663670766025724,22.74899213254091,Monday – Friday: 08:00 – 13:00 and 14:00 – 17:00Saturday:             08:00 – 12:00Sundays:              ClosedPublic Holidays:   Closed,https://www.diydepot.co.za/diy-store/diy-depot-prieska-2/
DIY Depot Bethulie,082 494 5799,23A Voortrekker Street Bethulie Northern Cape 9992 South Africa,-30.504149464622454,25.972377281126146,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 13:00Sun: ClosedPhol: Closed,https://www.diydepot.co.za/diy-store/diy-depot-bethulie/
DIY Depot Greytown,082 327 4800,"169A Pine Street,, Greytown KwaZulu-Natal 3250 South Africa",-29.0625049,30.5876205,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 13:00Sun: ClosedPhol: Closed,https://www.diydepot.co.za/diy-store/diy-depot-greytown/
DIY Depot Butterworth,074 312 0113,N2 Ibika Junction 1069 Zithulele Industrial Butterworth 4960,-32.289417,28.211167,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 14:00Sun: CLOSEDPhol: CLOSED,https://www.diydepot.co.za/diy-store/diy-depot-butterworth/
DIY Depot Arcon Park,016 150 0088,4 Johannesburg Road Arcornpark Vereeniging Gauteng 1937 South Africa,-26.637354,27.936169,Mon - Fri: 08:00 - 17:30Sat: 08:00 - 15:00Sun: 09:00 - 13:00Phol: 09:00 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-arcon-park/
DIY Depot Burgersfort,063 630 1964,Mashifani Park Burgersfort Limpopo 1150 Limpopo,-24.658368,30.289271,N/A,https://www.diydepot.co.za/diy-store/diy-depot-burgersfort-2/
DIY Depot Kwanobuhle,087 158 3552,Shop 42 & 44 Kwandbuhle Shopping Centre Kwandbuhle Eastern Cape 6242 South Africa,-33.805109,25.398159,N/A,https://www.diydepot.co.za/diy-store/diy-depot-kwanobuhle-2/
DIY Depot Felsher’s,011 837 3432,59 High Street Brixton Johannesburg Gauteng 2090 South Africa,-26.19222,27.99423,Mon - Fri: 08H00-17H00Saturday: 08H00-13H00Sunday: 09H00-12H00,https://www.diydepot.co.za/diy-store/diy-depot-felshers/
DIY Depot Oranjeville,016 351 1954,25 Roets Street Oranjeville Gauteng 1995 South Africa,-26.9940547,28.2116697,Mon - Fri: 07:30 - 16:30Sat: 07:30 - 12:00Sun: CLOSEDPhol: 07:30 - 12:00,https://www.diydepot.co.za/diy-store/diy-depot-oranjeville/
DIY Depot Orania,087 237 6800,N19 Ysterklip Street Industrial Area Orania Northern Cape 8759 South Africa,-29.82099,24.415866,Monday-Friday: 08:00-17:00Sat: 08:00 - 13:00Sun: CLOSEDPhol: 07:00 - 17:00,https://www.diydepot.co.za/diy-store/diy-depot-orania/
DIY Depot Graskop,013 767 1945,16 Richardson Street Opposite Spar Graskop Mpumalanga 1270 South Africa,-24.933548,30.841461,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 14:30Sun & Phol: CLOSED,https://www.diydepot.co.za/diy-store/diy-depot-graskop/
DIY Depot Balfour,017 773 0013,100 Mury Street Balfour Mpumalanga 1173 South Africa,-26.658227602913215,28.58409550059432,N/A,https://www.diydepot.co.za/diy-store/diy-depot-balfour/
